,CustomerID,First_Name,Last_Name,Phone_Number,Paying Customer,Do_Not_Contact,Not_Useful_Column,Street_Address,State,Zip_Code
0,1001,Frodo,Baggins,123-545-5421,Y,N,True,123 Shire Lane, Shire,
2,1003,Walter,White,,N,,True,298 Drugs Driveway,,
4,1005,Jon,Snow,876-678-3469,Y,N,True,123 Dragons Road,,
6,1007,Jeff,  Winger,,N,N,False,1209 South Street,,
7,1008,Sherlock,Holmes,876-678-3469,N,N,False,98 Clue Drive,,
8,1009,Gandalf,,,Y,,False,123 Middle Earth,,
9,1010,Peter,Parker,123-545-5421,Y,N,True,25th Main Street, New York,
10,1011,Samwise,Gamgee,,Y,N,True,612 Shire Lane, Shire,
11,1012,Harry,Potter,,Y,,True,2394 Hogwarts Avenue,,
12,1013,Don,Draper,123-543-2345,Y,N,False,2039 Main Street,,
13,1014,Leslie,Knope,876-678-3469,Y,N,False,343 City Parkway,,
14,1015,Toby,Flenderson,304-762-2467,N,N,False,214 HR Avenue,,
15,1016,Ron,Weasley,123-545-5421,N,N,False,2395 Hogwarts Avenue,,
16,1017,Michael ,Scott,123-643-9775,Y,N,False,121 Paper Avenue, Pennsylvania,
17,1018,Clark,Kent,,Y,,True,3498 Super Lane,,
19,1020,Anakin,Skywalker,876-678-3469,Y,N,True,910 Tatooine Road, Tatooine,
20,1020,Anakin,Skywalker,876-678-3469,Y,N,True,910 Tatooine Road, Tatooine,
